date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:44	81077/81077	---M--	200	added ('OK')	image/jpeg	etag:%2259bd35332608030a15097f08cebaa7f0%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/28904caf1dfc553f97cd2a81/pexels-photo-3760529.jpeg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/28904caf1dfc553f97cd2a81/pexels-photo-3760529.jpg	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:46	91143/91143	---M--	200	added ('OK')	image/jpeg	etag:%22e87a2e59c181f6e9a541499a9af5c86d%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/81cd18bc3a2052f7954fa01c/pexels-photo-2102415.jpeg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/81cd18bc3a2052f7954fa01c/pexels-photo-2102415.jpg	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:46	755/755	---M--	200	added ('OK')	image/png	etag:%228b64a6cd83e6b895ac70ebc9c37bcc16%22	http://images01.nicepage.com/c461c07a441a5d220e8feb1a/a8449a7cd76b51d6b27e30fc/545682.png	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/c461c07a441a5d220e8feb1a/a8449a7cd76b51d6b27e30fc/545682.png	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:46	8324/8324	---MCZ	200	added ('OK')	text/html	etag:W/%224e3db1f08cbb703ba4f9961e024f21ed%22	https://website1428777.nicepage.io/Contact.html	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/website1428777.nicepage.io/Contact.html	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:58	65566/65566	---M--	200	added ('OK')	image/jpeg	etag:%228747cec5bdfba3d27fdff989c6a96d03%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/e02581399c7e55539d52acd3/pexels-photo-4098374.jpeg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/e02581399c7e55539d52acd3/pexels-photo-4098374.jpg	(from https://website1428777.nicepage.io/Home.html)
20:37:03	95919/95919	---M--	200	added ('OK')	image/jpeg	etag:%225757869a16d6988df8c05ea53ce39dc1%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/97692c1eaef0529b87b90edb/pexels-photo-6382633.jpeg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/97692c1eaef0529b87b90edb/pexels-photo-6382633.jpg	(from https://website1428777.nicepage.io/Home.html)
20:37:05	4486/4486	---M--	200	added ('OK')	image/png	etag:%22461e95efb41356bf9a0ddb6dcb7d0f39%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/d7da67324cec5ce5a2e9123a/1491171.png	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/d7da67324cec5ce5a2e9123a/1491171.png	(from https://website1428777.nicepage.io/Home.html)
20:37:08	153184/153184	---MCZ	200	added ('OK')	text/html	etag:W/%223bf5e210b74d817bdbd138f750b5ceb1%22	https://website1428777.nicepage.io/	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/website1428777.nicepage.io/index.html	(from https://website1428777.nicepage.io/Home.html)
20:37:09	5938/5938	---M--	200	added ('OK')	image/png	etag:%22e35eb80db22606f635dd002308187fcd%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/7df87cc8fc465254aa83827a/1491214.png	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/7df87cc8fc465254aa83827a/1491214.png	(from https://website1428777.nicepage.io/Home.html)
20:37:14	166374/166374	---M--	200	added ('OK')	image/jpeg	etag:%224c860567578e55343d52fca9be6f6a50%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/f115849fd9f45156a7c52b81/pexels-photo-3285196.jpeg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/f115849fd9f45156a7c52b81/pexels-photo-3285196.jpg	(from https://website1428777.nicepage.io/Home.html)
20:37:14	190723/190723	---M--	200	added ('OK')	image/jpeg	etag:%22383ba52b1b93b0286fa9e490ad0eb49e%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/2f6015003a5d56c487a4a3b3/pexels-photo-4101143.jpeg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/2f6015003a5d56c487a4a3b3/pexels-photo-4101143.jpg	(from https://website1428777.nicepage.io/Home.html)
20:37:15	100617/100617	---M--	200	added ('OK')	image/jpeg	etag:%22195a6a79058c84102bb00951d9fc5ebd%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/ea5fcf8838e75648a6d15429/pexels-photo-5699456.jpeg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/ea5fcf8838e75648a6d15429/pexels-photo-5699456.jpg	(from https://website1428777.nicepage.io/Home.html)
20:37:16	74234/74234	---M--	200	added ('OK')	image/jpeg	etag:%22d6b0de274aca8546517315c57c24a23a%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/c4e85fe3c9585facaf194ac5/pexels-photo-4098340.jpeg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/c4e85fe3c9585facaf194ac5/pexels-photo-4098340.jpg	(from https://website1428777.nicepage.io/Home.html)
